,guest,hotel,net_earning,guest_satisfaction
159,guest_3482,hotel_245,278.4,1
160,guest_798,hotel_143,175.74,2
161,guest_3439,hotel_81,209.16,1
162,guest_830,hotel_304,130.2,4
163,guest_3247,hotel_132,182.39999999999998,3
164,guest_2276,hotel_222,224.07,3
165,guest_3035,hotel_23,49.68,3
166,guest_3718,hotel_304,124.60000000000001,3
167,guest_508,hotel_346,152.25,2
168,guest_1548,hotel_132,182.39999999999998,3
169,guest_3908,hotel_381,242.88,4
170,guest_1566,hotel_185,221.13000000000002,4
171,guest_248,hotel_52,149.76,4
172,guest_1443,hotel_346,161.0,2
173,guest_54,hotel_166,224.2,2
174,guest_2003,hotel_114,178.0,4
175,guest_1604,hotel_52,141.96,2
176,guest_3508,hotel_185,273.0,2
177,guest_904,hotel_290,150.88000000000002,3
178,guest_3715,hotel_337,74.25,3
179,guest_2313,hotel_276,200.9,4
180,guest_3189,hotel_398,91.8,3
181,guest_1424,hotel_280,70.98,4
182,guest_2631,hotel_280,78.0,2
183,guest_2353,hotel_280,63.18000000000001,3
184,guest_480,hotel_18,255.43,4
185,guest_3471,hotel_304,117.6,4
186,guest_1734,hotel_337,63.0,3
187,guest_1991,hotel_337,67.5,3
188,guest_1829,hotel_363,207.0,2
189,guest_3356,hotel_389,86.24,2
190,guest_3906,hotel_110,120.39999999999999,3
191,guest_2965,hotel_185,270.27,2
192,guest_3553,hotel_328,165.75,2
193,guest_3259,hotel_60,198.44000000000003,2
194,guest_620,hotel_183,147.84,2
195,guest_486,hotel_216,209.88,1
196,guest_1939,hotel_370,226.71,4
197,guest_1239,hotel_150,74.52000000000001,3
198,guest_473,hotel_150,75.33,2
199,guest_49,hotel_270,223.86,4
200,guest_1190,hotel_101,143.78,2
201,guest_2100,hotel_19,102.83,1
202,guest_3607,hotel_201,225.12,3
203,guest_775,hotel_385,221.16,1
204,guest_2915,hotel_328,171.6,2
205,guest_319,hotel_346,159.25,3
206,guest_3663,hotel_138,184.44,2
207,guest_1350,hotel_337,71.25,2
208,guest_847,hotel_337,69.75,2
209,guest_3261,hotel_182,146.07999999999998,2
210,guest_1553,hotel_328,165.75,2
211,guest_365,hotel_276,203.35,3
212,guest_1558,hotel_18,278.39,2
213,guest_3462,hotel_389,97.02,3
214,guest_2452,hotel_346,164.5,4
215,guest_1149,hotel_270,242.97,2
216,guest_2159,hotel_355,199.26000000000002,4
217,guest_2136,hotel_83,201.76,2
218,guest_3472,hotel_304,126.0,4
219,guest_3266,hotel_53,54.879999999999995,2
220,guest_2059,hotel_222,226.38,2
221,guest_722,hotel_108,110.88,1
222,guest_2889,hotel_166,226.56,2
223,guest_3215,hotel_382,117.0,2
224,guest_2628,hotel_290,161.92,4
225,guest_2513,hotel_276,227.85,2
226,guest_2776,hotel_276,203.35,4
227,guest_1291,hotel_60,234.73999999999998,3
228,guest_3214,hotel_143,173.72,2
229,guest_1611,hotel_328,189.15,4
230,guest_1296,hotel_270,229.32,4
231,guest_2812,hotel_118,152.04,3
232,guest_2692,hotel_108,117.48,1
233,guest_2192,hotel_346,155.75,4
234,guest_3213,hotel_304,117.6,4
235,guest_1310,hotel_267,253.17,4
236,guest_553,hotel_270,264.81,3
237,guest_3953,hotel_318,119.72000000000001,2
238,guest_252,hotel_267,261.0,4
239,guest_1713,hotel_315,216.57999999999998,3
240,guest_3175,hotel_355,218.94,2
241,guest_2286,hotel_389,84.28,4
242,guest_844,hotel_143,191.89999999999998,2
243,guest_1103,hotel_245,287.1,2
244,guest_2439,hotel_361,216.81,2
245,guest_359,hotel_18,278.39,3
246,guest_550,hotel_315,196.69,3
247,guest_1022,hotel_355,236.16,2
248,guest_1632,hotel_355,221.4,3
249,guest_3128,hotel_260,167.45,2
250,guest_237,hotel_321,50.76,4
251,guest_1164,hotel_267,211.41000000000003,2
252,guest_2489,hotel_315,194.48,2
253,guest_1358,hotel_304,126.0,3
254,guest_2911,hotel_246,102.87,1
255,guest_3999,hotel_110,128.8,2
256,guest_2007,hotel_68,140.14000000000001,4
257,guest_1582,hotel_60,237.16,3
258,guest_86,hotel_248,174.72,4
259,guest_1415,hotel_280,68.64,4
260,guest_634,hotel_315,181.22000000000003,2
261,guest_2768,hotel_380,281.3,2
262,guest_810,hotel_143,181.8,2
263,guest_448,hotel_166,205.32,3
264,guest_3445,hotel_260,175.33,4
265,guest_485,hotel_276,200.9,2
266,guest_3025,hotel_315,181.22000000000003,2
267,guest_874,hotel_391,196.0,1
268,guest_3398,hotel_381,248.4,1
269,guest_3021,hotel_138,192.92000000000002,3
270,guest_2013,hotel_93,265.04999999999995,4
271,guest_3777,hotel_19,106.22,4
272,guest_2714,hotel_398,93.84,3
273,guest_3260,hotel_182,165.44,3
274,guest_621,hotel_143,179.78,3
275,guest_2841,hotel_182,153.12,3
276,guest_933,hotel_328,195.0,4
277,guest_2519,hotel_270,273.0,2
278,guest_3877,hotel_185,270.27,3
279,guest_1688,hotel_276,240.1,3
280,guest_2607,hotel_280,64.74,3
281,guest_286,hotel_60,196.02,3
282,guest_1584,hotel_270,234.78,2
283,guest_3049,hotel_276,232.75,2
284,guest_3200,hotel_346,171.5,2
285,guest_859,hotel_346,168.0,3
286,guest_274,hotel_185,270.27,2
287,guest_2741,hotel_389,86.24,4
288,guest_3558,hotel_328,167.7,1
289,guest_3631,hotel_165,90.78,1
290,guest_2463,hotel_328,169.65,4
291,guest_3905,hotel_5,256.28,2
292,guest_2440,hotel_185,242.97,2
293,guest_851,hotel_270,259.34999999999997,2
294,guest_3304,hotel_276,225.4,2
295,guest_3353,hotel_185,259.34999999999997,2
296,guest_1843,hotel_346,141.75,4
297,guest_1245,hotel_150,73.71000000000001,1
298,guest_1410,hotel_185,240.24,3
299,guest_1152,hotel_389,98.0,4
300,guest_2122,hotel_224,76.0,3
301,guest_14,hotel_166,221.83999999999997,3
302,guest_1860,hotel_381,223.56,4
303,guest_511,hotel_276,237.65,2
304,guest_1699,hotel_60,200.85999999999999,2
305,guest_118,hotel_248,203.84,4
306,guest_1332,hotel_270,259.34999999999997,3
307,guest_2672,hotel_138,201.39999999999998,2
308,guest_612,hotel_182,168.95999999999998,2
309,guest_626,hotel_346,143.5,2
310,guest_2593,hotel_5,244.36,4
311,guest_3986,hotel_346,143.5,2
312,guest_3909,hotel_315,209.95,4
313,guest_2940,hotel_294,135.79999999999998,2
314,guest_2029,hotel_143,173.72,4
315,guest_1929,hotel_26,51.699999999999996,4
316,guest_984,hotel_274,157.7,4
317,guest_2127,hotel_143,202.0,2
318,guest_3409,hotel_224,63.839999999999996,2
319,guest_3161,hotel_346,164.5,2
320,guest_1204,hotel_162,221.88,1
321,guest_789,hotel_389,85.26,4
322,guest_2472,hotel_83,203.84,2
323,guest_2154,hotel_182,170.72,3
324,guest_1936,hotel_143,171.7,2
325,guest_2875,hotel_276,213.15,3
326,guest_602,hotel_118,181.0,3
327,guest_649,hotel_398,88.74,4
328,guest_2347,hotel_328,159.9,1
329,guest_63,hotel_182,158.4,1
330,guest_2067,hotel_60,198.44000000000003,1
331,guest_1605,hotel_260,189.12,4
332,guest_998,hotel_381,240.12,4
333,guest_855,hotel_19,99.44,2
334,guest_1074,hotel_363,171.81,2
335,guest_3934,hotel_101,132.72,3
336,guest_558,hotel_60,239.57999999999998,3
337,guest_2810,hotel_290,174.79999999999998,4
338,guest_1752,hotel_304,120.39999999999999,2
339,guest_1592,hotel_83,176.79999999999998,2
340,guest_3741,hotel_138,199.28,4
341,guest_953,hotel_306,182.70000000000002,3
342,guest_655,hotel_134,66.92999999999999,4
343,guest_2612,hotel_346,157.5,2
344,guest_2814,hotel_276,198.45000000000002,1
345,guest_3896,hotel_348,161.99,2
346,guest_1865,hotel_102,66.43,4
347,guest_2823,hotel_321,45.9,4
348,guest_1402,hotel_35,130.95,1
349,guest_3873,hotel_140,181.56,3
350,guest_506,hotel_165,86.7,2
351,guest_389,hotel_5,271.18,2
352,guest_1471,hotel_143,179.78,2
353,guest_3753,hotel_140,201.96,4
354,guest_2408,hotel_315,205.52999999999997,2
355,guest_1888,hotel_38,128.25,3
356,guest_3556,hotel_361,192.72,1
357,guest_3887,hotel_132,165.12,4
358,guest_1373,hotel_132,192.0,2
359,guest_587,hotel_248,176.79999999999998,4
360,guest_495,hotel_157,55.9,2
361,guest_1524,hotel_363,194.57999999999998,4
362,guest_2881,hotel_5,250.32,4
363,guest_3095,hotel_328,175.5,1
364,guest_3502,hotel_157,57.2,2
365,guest_82,hotel_150,79.38,4
366,guest_371,hotel_315,192.27,4
367,guest_1376,hotel_383,167.32,4
368,guest_1256,hotel_5,265.22,2
369,guest_2929,hotel_260,171.39,2
370,guest_177,hotel_5,268.2,4
371,guest_1388,hotel_101,156.42,1
372,guest_2890,hotel_383,144.18,1
373,guest_979,hotel_176,288.09,3
374,guest_952,hotel_276,222.95000000000002,3
375,guest_3094,hotel_132,174.72,2
376,guest_2998,hotel_182,144.32000000000002,3
377,guest_2318,hotel_216,201.39999999999998,1
378,guest_1240,hotel_101,148.51999999999998,3
379,guest_146,hotel_83,197.6,2
380,guest_1931,hotel_260,175.33,1
381,guest_827,hotel_25,193.83,3
382,guest_729,hotel_23,44.28,4
383,guest_3447,hotel_38,113.39999999999999,2
384,guest_175,hotel_106,273.24,2
385,guest_3228,hotel_150,70.47,1
386,guest_2339,hotel_328,195.0,4
387,guest_2476,hotel_227,196.98,2
388,guest_1228,hotel_328,169.65,3
389,guest_310,hotel_347,198.72,1
390,guest_574,hotel_276,235.2,3
391,guest_2515,hotel_52,126.36000000000001,4
392,guest_1759,hotel_328,159.9,2
393,guest_1144,hotel_232,206.91,1
394,guest_104,hotel_38,118.8,3
395,guest_3785,hotel_398,97.92,2
396,guest_3478,hotel_110,117.6,4
397,guest_1213,hotel_105,114.84,1
398,guest_2925,hotel_182,149.6,3
399,guest_2419,hotel_304,119.0,4
400,guest_1506,hotel_304,131.6,4
401,guest_3923,hotel_142,117.45,4
402,guest_110,hotel_52,154.44,4
403,guest_1073,hotel_106,288.09,3
404,guest_3360,hotel_38,109.35000000000001,4
405,guest_1942,hotel_68,132.44,4
406,guest_3640,hotel_383,149.51999999999998,2
407,guest_2453,hotel_150,65.61,2
408,guest_1324,hotel_299,161.5,4
409,guest_2432,hotel_315,201.11,2
410,guest_3922,hotel_383,160.20000000000002,2
411,guest_1412,hotel_398,82.62,2
412,guest_964,hotel_267,247.95,2
413,guest_3020,hotel_260,197.0,2
414,guest_2653,hotel_304,117.6,4
415,guest_1502,hotel_239,239.25,2
416,guest_3412,hotel_38,128.25,3
417,guest_3944,hotel_46,177.62,4
418,guest_3312,hotel_118,152.04,2
419,guest_3069,hotel_321,53.46,2
420,guest_2123,hotel_222,219.45,3
421,guest_3169,hotel_30,84.66,3
422,guest_1055,hotel_381,245.64000000000001,2
423,guest_606,hotel_304,140.0,4
424,guest_3133,hotel_380,255.2,2
425,guest_1137,hotel_328,193.05,3
426,guest_972,hotel_118,157.47,3
427,guest_3394,hotel_5,289.06,4
428,guest_157,hotel_43,223.86,4
429,guest_425,hotel_80,227.04999999999998,3
430,guest_2955,hotel_301,50.44,1
431,guest_1356,hotel_52,146.64,3
432,guest_1363,hotel_110,127.4,4
433,guest_2537,hotel_398,91.8,1
434,guest_3433,hotel_294,114.80000000000001,4
435,guest_2261,hotel_222,231.0,3
436,guest_1575,hotel_304,120.39999999999999,1
437,guest_2105,hotel_398,92.82000000000001,3
438,guest_1617,hotel_108,132.0,2
439,guest_30,hotel_63,261.0,2
440,guest_236,hotel_138,175.95999999999998,4
441,guest_1349,hotel_381,262.2,2
442,guest_3704,hotel_227,196.98,2
443,guest_3338,hotel_260,179.27,2
444,guest_3581,hotel_101,143.78,4
445,guest_1796,hotel_328,195.0,4
446,guest_2680,hotel_381,237.35999999999999,2
447,guest_3950,hotel_224,65.36,4
448,guest_1777,hotel_38,117.45,1
449,guest_3743,hotel_315,185.64,3
450,guest_2788,hotel_69,227.7,2
451,guest_3941,hotel_138,184.44,2
452,guest_59,hotel_304,114.80000000000001,2
453,guest_2498,hotel_392,176.4,3
454,guest_1535,hotel_315,212.16,3
455,guest_1807,hotel_304,119.0,4
456,guest_1163,hotel_378,172.66,3
457,guest_883,hotel_83,187.20000000000002,2
458,guest_1508,hotel_140,185.64000000000001,2
459,guest_2991,hotel_28,95.68,4
460,guest_3528,hotel_24,50.879999999999995,2
461,guest_3187,hotel_381,231.84,2
462,guest_2117,hotel_398,90.78,4
463,guest_330,hotel_52,131.04,4
464,guest_1667,hotel_182,142.56,4
465,guest_3180,hotel_138,175.95999999999998,3
466,guest_2855,hotel_380,234.9,4
467,guest_2626,hotel_201,257.28,4
468,guest_2300,hotel_69,227.7,1
469,guest_2552,hotel_98,201.0,2
470,guest_2092,hotel_182,165.44,2
471,guest_2503,hotel_251,97.01,1
472,guest_2012,hotel_136,142.56,1
473,guest_1514,hotel_328,159.9,2
474,guest_879,hotel_380,278.4,3
475,guest_1265,hotel_265,214.65,3
476,guest_1142,hotel_217,254.04,3
477,guest_3657,hotel_227,180.9,4
478,guest_3645,hotel_165,98.94,3
479,guest_2987,hotel_52,148.2,2
480,guest_1635,hotel_376,218.96,1
481,guest_3282,hotel_232,169.29000000000002,2
482,guest_1173,hotel_375,246.56,3
483,guest_3606,hotel_392,184.8,1
484,guest_627,hotel_328,165.75,2
485,guest_2164,hotel_38,121.5,4
486,guest_2051,hotel_165,85.67999999999999,3
487,guest_2696,hotel_227,186.92999999999998,2
488,guest_3278,hotel_328,179.4,2
489,guest_1784,hotel_140,204.0,1
490,guest_2075,hotel_221,195.03,3
491,guest_1184,hotel_260,173.36,2
492,guest_893,hotel_300,179.74,3
493,guest_1100,hotel_254,198.66,4
494,guest_249,hotel_362,166.05,2
495,guest_444,hotel_380,246.5,2
496,guest_2878,hotel_68,141.68,3
497,guest_2096,hotel_159,202.73,4
498,guest_3680,hotel_321,52.379999999999995,2
499,guest_1848,hotel_108,117.48,3
500,guest_16,hotel_110,127.4,4
501,guest_2262,hotel_108,110.88,4
502,guest_363,hotel_176,276.21,3
503,guest_1859,hotel_398,85.67999999999999,3
504,guest_1398,hotel_52,146.64,2
505,guest_2333,hotel_19,91.53,2
506,guest_2853,hotel_272,156.6,4
507,guest_2792,hotel_398,100.98,3
508,guest_2627,hotel_207,108.8,4
509,guest_642,hotel_132,170.88,3
510,guest_2054,hotel_321,45.36,4
511,guest_843,hotel_352,223.56,1
512,guest_872,hotel_101,153.26,4
513,guest_925,hotel_373,214.02,1
514,guest_527,hotel_321,49.14,2
515,guest_3589,hotel_380,290.0,3
516,guest_638,hotel_138,205.64,4
517,guest_2085,hotel_99,179.51999999999998,3
518,guest_969,hotel_363,169.74,3
519,guest_944,hotel_370,190.07,4
520,guest_1870,hotel_19,110.74,2
521,guest_3051,hotel_260,193.06,2
522,guest_1538,hotel_38,114.75,3
523,guest_3183,hotel_382,109.2,2
524,guest_834,hotel_19,108.47999999999999,2
525,guest_1079,hotel_323,123.2,4
526,guest_3077,hotel_245,258.1,3
527,guest_387,hotel_380,287.1,2
528,guest_332,hotel_101,140.62,4
529,guest_121,hotel_19,93.78999999999999,3
530,guest_2243,hotel_132,174.72,4
531,guest_1721,hotel_182,174.24,2
532,guest_259,hotel_370,208.39000000000001,4
533,guest_3316,hotel_146,223.74,4
534,guest_3493,hotel_38,122.85000000000001,2
535,guest_1242,hotel_2,76.36,1
536,guest_1090,hotel_38,118.8,4
537,guest_341,hotel_25,191.70000000000002,4
538,guest_1826,hotel_83,185.12,3
539,guest_3529,hotel_182,154.88,2
540,guest_2170,hotel_138,192.92000000000002,3
541,guest_3387,hotel_101,135.88,2
542,guest_3766,hotel_398,87.72,2
543,guest_3474,hotel_297,255.78,3
544,guest_820,hotel_138,171.72,3
545,guest_1281,hotel_363,171.81,2
546,guest_198,hotel_130,144.54,4
547,guest_533,hotel_138,203.51999999999998,4
548,guest_585,hotel_25,193.83,4
549,guest_490,hotel_231,247.95,3
550,guest_2019,hotel_380,237.8,2
551,guest_1312,hotel_380,275.5,2
552,guest_434,hotel_157,65.0,2
553,guest_451,hotel_176,291.06,4
554,guest_3567,hotel_101,142.20000000000002,4
555,guest_1803,hotel_26,50.6,4
556,guest_1222,hotel_274,156.04,2
557,guest_1516,hotel_52,149.76,2
558,guest_1369,hotel_83,189.28,3
559,guest_1697,hotel_321,49.68,1
560,guest_1480,hotel_68,150.92,4
561,guest_2160,hotel_381,226.32000000000002,2
562,guest_2305,hotel_176,261.36,2
563,guest_1644,hotel_260,165.48,2
564,guest_932,hotel_266,145.34,3
565,guest_1810,hotel_38,130.95,2
566,guest_3177,hotel_101,156.42,3
567,guest_1023,hotel_52,135.72,2
568,guest_415,hotel_242,57.0,2
569,guest_3660,hotel_133,162.54,2
570,guest_405,hotel_231,230.85000000000002,2
571,guest_2759,hotel_26,44.550000000000004,3
572,guest_411,hotel_99,185.13,4
573,guest_1690,hotel_324,239.86999999999998,1
574,guest_2664,hotel_101,158.0,1
575,guest_167,hotel_118,161.09,4
576,guest_987,hotel_381,262.2,3
577,guest_153,hotel_221,167.45,4
578,guest_1395,hotel_294,137.2,2
579,guest_2635,hotel_381,276.0,4
580,guest_1483,hotel_106,297.0,2
581,guest_1344,hotel_118,153.85,4
582,guest_3678,hotel_165,84.66,3
583,guest_1354,hotel_294,130.2,2
584,guest_3664,hotel_106,246.51,3
585,guest_1384,hotel_52,127.92000000000002,1
586,guest_2978,hotel_227,194.97,2
587,guest_3086,hotel_101,137.46,2
588,guest_3966,hotel_381,240.12,4
589,guest_657,hotel_19,103.96000000000001,3
590,guest_1704,hotel_181,87.48,1
591,guest_3185,hotel_99,177.65,4
592,guest_2289,hotel_118,175.57,3
593,guest_295,hotel_30,96.89999999999999,2
594,guest_2466,hotel_398,88.74,2
595,guest_1432,hotel_232,173.47,2
596,guest_1015,hotel_19,94.92,2
597,guest_3113,hotel_227,190.95,3
598,guest_2327,hotel_99,155.20999999999998,4
599,guest_3250,hotel_101,134.29999999999998,1
600,guest_2097,hotel_52,137.28,3
601,guest_3399,hotel_260,179.27,3
602,guest_1234,hotel_375,259.96,2
603,guest_3264,hotel_26,49.5,4
604,guest_2521,hotel_321,51.839999999999996,4
605,guest_2756,hotel_381,276.0,2
606,guest_3876,hotel_52,152.88,2
607,guest_1618,hotel_25,183.18,4
608,guest_1455,hotel_196,95.03999999999999,1
609,guest_569,hotel_140,187.68,3
610,guest_3079,hotel_52,132.6,4
611,guest_3235,hotel_52,138.84,2
612,guest_1624,hotel_332,247.42000000000002,2
613,guest_2081,hotel_69,216.2,4
614,guest_2531,hotel_217,274.47999999999996,3
615,guest_31,hotel_321,44.82,4
616,guest_477,hotel_118,179.19,2
617,guest_3818,hotel_294,121.8,2
618,guest_2506,hotel_398,92.82000000000001,3
619,guest_103,hotel_96,191.36,2
620,guest_2539,hotel_53,54.32,4
621,guest_1251,hotel_165,83.64,3
622,guest_1769,hotel_157,53.949999999999996,3
623,guest_188,hotel_231,259.35,2
624,guest_2188,hotel_227,180.9,2
625,guest_2312,hotel_227,178.89000000000001,4
626,guest_3667,hotel_157,57.85,3
627,guest_2260,hotel_381,248.4,2
628,guest_3658,hotel_321,49.68,2
629,guest_2913,hotel_274,157.7,3
630,guest_27,hotel_274,137.78,3
631,guest_3007,hotel_52,137.28,2
632,guest_1937,hotel_195,76.14,1
633,guest_1633,hotel_398,99.96,2
634,guest_1331,hotel_99,160.82,3
635,guest_3874,hotel_348,145.29,3
636,guest_2352,hotel_283,59.64,4
637,guest_2604,hotel_370,224.42,3
638,guest_292,hotel_372,164.43,1
639,guest_172,hotel_68,154.0,2
640,guest_1657,hotel_83,185.12,3
641,guest_2516,hotel_118,153.85,4
642,guest_1634,hotel_274,154.38,3
643,guest_3729,hotel_54,235.62,1
644,guest_25,hotel_380,252.3,4
645,guest_660,hotel_109,56.949999999999996,3
646,guest_2942,hotel_144,50.15,1
647,guest_3940,hotel_52,152.88,3
648,guest_3512,hotel_266,155.48000000000002,1
649,guest_315,hotel_392,178.5,4
650,guest_2645,hotel_165,90.78,1
651,guest_1864,hotel_118,159.28,3
652,guest_3179,hotel_321,45.9,2
653,guest_1018,hotel_216,190.8,2
654,guest_443,hotel_363,188.37,2
655,guest_2591,hotel_109,57.62,4
656,guest_2212,hotel_274,161.01999999999998,2
657,guest_1731,hotel_52,135.72,2
658,guest_1997,hotel_68,143.22,4
659,guest_2567,hotel_131,249.48,4
660,guest_61,hotel_202,233.28000000000003,4
661,guest_1405,hotel_83,180.96,2
662,guest_397,hotel_227,192.95999999999998,4
663,guest_227,hotel_321,51.839999999999996,2
664,guest_2525,hotel_381,240.12,4
665,guest_46,hotel_391,174.0,2
666,guest_3686,hotel_106,255.42,4
667,guest_728,hotel_83,170.56,2
668,guest_3634,hotel_13,184.14,4
669,guest_3222,hotel_165,83.64,3
670,guest_3440,hotel_223,247.35,2
671,guest_1367,hotel_260,181.24,2
672,guest_1423,hotel_93,239.39999999999998,2
673,guest_140,hotel_69,204.70000000000002,4
674,guest_3417,hotel_321,43.74,3
675,guest_2757,hotel_176,282.15,2
676,guest_3550,hotel_68,137.06,2
677,guest_1712,hotel_52,148.2,2
