,guest,hotel,discount,price,earning
204,guest_2344,hotel_102,0.12,73,64.24
205,guest_1018,hotel_368,0.1,249,224.1
206,guest_2014,hotel_96,0.17,208,172.64
207,guest_2428,hotel_116,0.02,129,126.42
208,guest_3082,hotel_234,0.12,211,185.68
209,guest_3376,hotel_187,0.16,215,180.6
210,guest_3260,hotel_13,0.06,198,186.11999999999998
211,guest_366,hotel_204,0.0,93,93.0
212,guest_2138,hotel_381,0.19,276,223.56
213,guest_3475,hotel_134,0.05,69,65.55
214,guest_1849,hotel_295,0.19,76,61.56
215,guest_590,hotel_353,0.04,197,189.12
216,guest_1967,hotel_353,0.11,197,175.33
217,guest_1932,hotel_261,0.1,209,188.1
218,guest_1179,hotel_304,0.1,140,126.0
219,guest_1851,hotel_350,0.14,56,48.16
220,guest_2493,hotel_183,0.02,154,150.92
221,guest_107,hotel_290,0.11,184,163.76
222,guest_2088,hotel_1,0.05,273,259.34999999999997
223,guest_712,hotel_111,0.02,253,247.94
224,guest_2826,hotel_149,0.0,278,278.0
225,guest_2893,hotel_184,0.13,298,259.26
226,guest_1140,hotel_275,0.19,159,128.79000000000002
227,guest_1446,hotel_230,0.15,299,254.15
228,guest_3691,hotel_103,0.15,241,204.85
229,guest_2862,hotel_59,0.16,116,97.44
230,guest_1607,hotel_46,0.12,214,188.32
231,guest_304,hotel_173,0.12,97,85.36
232,guest_2218,hotel_250,0.01,298,295.02
233,guest_558,hotel_138,0.01,212,209.88
234,guest_308,hotel_1,0.07,273,253.89
235,guest_3669,hotel_363,0.16,207,173.88
236,guest_1814,hotel_366,0.11,120,106.8
237,guest_2382,hotel_340,0.11,243,216.27
238,guest_32,hotel_248,0.14,208,178.88
239,guest_1565,hotel_206,0.1,187,168.3
240,guest_1592,hotel_176,0.15,297,252.45
241,guest_2469,hotel_115,0.04,244,234.23999999999998
242,guest_1661,hotel_250,0.05,298,283.09999999999997
243,guest_772,hotel_328,0.15,195,165.75
244,guest_674,hotel_187,0.03,215,208.54999999999998
245,guest_346,hotel_94,0.09,112,101.92
246,guest_2620,hotel_224,0.09,76,69.16
247,guest_27,hotel_332,0.17,278,230.73999999999998
248,guest_2116,hotel_394,0.19,291,235.71
249,guest_2563,hotel_74,0.05,278,264.09999999999997
250,guest_1598,hotel_366,0.15,120,102.0
251,guest_3495,hotel_260,0.13,197,171.39
252,guest_2556,hotel_81,0.15,252,214.2
253,guest_3233,hotel_317,0.14,127,109.22
254,guest_2071,hotel_150,0.14,81,69.66
255,guest_3766,hotel_235,0.14,136,116.96
256,guest_2939,hotel_171,0.18,167,136.94
257,guest_2697,hotel_57,0.17,134,111.22
258,guest_3024,hotel_280,0.0,78,78.0
259,guest_471,hotel_90,0.08,85,78.2
260,guest_3798,hotel_192,0.16,95,79.8
261,guest_2766,hotel_140,0.08,204,187.68
262,guest_453,hotel_20,0.06,183,172.01999999999998
263,guest_587,hotel_282,0.15,241,204.85
264,guest_1917,hotel_87,0.12,266,234.08
265,guest_1035,hotel_254,0.09,231,210.21
266,guest_3170,hotel_249,0.05,57,54.15
267,guest_2464,hotel_165,0.14,102,87.72
268,guest_187,hotel_55,0.15,241,204.85
269,guest_3445,hotel_332,0.11,278,247.42000000000002
270,guest_1556,hotel_264,0.16,153,128.51999999999998
271,guest_2147,hotel_97,0.14,288,247.68
272,guest_328,hotel_174,0.02,72,70.56
273,guest_857,hotel_233,0.03,278,269.65999999999997
274,guest_1866,hotel_168,0.08,298,274.16
275,guest_2247,hotel_335,0.05,170,161.5
276,guest_3726,hotel_245,0.14,290,249.4
277,guest_2010,hotel_84,0.02,225,220.5
278,guest_565,hotel_366,0.15,120,102.0
279,guest_1658,hotel_153,0.0,90,90.0
280,guest_1246,hotel_249,0.0,57,57.0
281,guest_693,hotel_130,0.12,146,128.48
282,guest_2422,hotel_181,0.04,108,103.67999999999999
283,guest_284,hotel_341,0.09,298,271.18
284,guest_1724,hotel_229,0.15,246,209.1
285,guest_3562,hotel_257,0.11,225,200.25
286,guest_2776,hotel_263,0.17,260,215.79999999999998
287,guest_491,hotel_52,0.07,156,145.07999999999998
288,guest_2319,hotel_388,0.11,286,254.54
289,guest_3347,hotel_295,0.17,76,63.08
290,guest_734,hotel_202,0.13,288,250.56
291,guest_2943,hotel_380,0.0,290,290.0
292,guest_3747,hotel_296,0.17,91,75.53
293,guest_3266,hotel_182,0.02,176,172.48
294,guest_3037,hotel_72,0.15,253,215.04999999999998
295,guest_2708,hotel_240,0.02,214,209.72
296,guest_3465,hotel_14,0.15,195,165.75
297,guest_2120,hotel_156,0.16,228,191.51999999999998
298,guest_391,hotel_81,0.09,252,229.32000000000002
299,guest_2627,hotel_44,0.15,243,206.54999999999998
300,guest_3565,hotel_392,0.18,210,172.20000000000002
301,guest_1677,hotel_383,0.16,178,149.51999999999998
302,guest_3956,hotel_361,0.11,219,194.91
303,guest_2699,hotel_368,0.01,249,246.51
304,guest_1876,hotel_385,0.14,228,196.07999999999998
305,guest_3261,hotel_347,0.17,216,179.28
306,guest_3410,hotel_11,0.05,226,214.7
307,guest_2722,hotel_287,0.11,160,142.4
308,guest_1144,hotel_186,0.01,181,179.19
309,guest_2578,hotel_351,0.05,126,119.69999999999999
310,guest_1609,hotel_262,0.01,68,67.32
311,guest_450,hotel_308,0.12,269,236.72
312,guest_2394,hotel_211,0.11,102,90.78
313,guest_3476,hotel_38,0.0,135,135.0
314,guest_862,hotel_276,0.1,245,220.5
315,guest_2077,hotel_237,0.14,249,214.14
316,guest_3073,hotel_237,0.1,249,224.1
317,guest_2987,hotel_239,0.05,275,261.25
318,guest_3452,hotel_17,0.01,121,119.78999999999999
319,guest_121,hotel_266,0.17,169,140.26999999999998
320,guest_2203,hotel_141,0.12,256,225.28
321,guest_463,hotel_117,0.07,282,262.26
322,guest_2389,hotel_186,0.05,181,171.95
323,guest_592,hotel_82,0.19,259,209.79000000000002
324,guest_442,hotel_192,0.11,95,84.55
325,guest_3898,hotel_310,0.0,214,214.0
326,guest_1937,hotel_158,0.19,132,106.92
327,guest_753,hotel_27,0.05,299,284.05
328,guest_300,hotel_224,0.08,76,69.92
329,guest_2069,hotel_360,0.14,75,64.5
330,guest_917,hotel_157,0.03,65,63.05
331,guest_2181,hotel_91,0.15,192,163.2
332,guest_1345,hotel_100,0.05,160,152.0
333,guest_1042,hotel_173,0.05,97,92.14999999999999
334,guest_2098,hotel_388,0.18,286,234.52
335,guest_3424,hotel_45,0.07,95,88.35
336,guest_1860,hotel_101,0.19,158,127.98
337,guest_3206,hotel_328,0.08,195,179.4
338,guest_2860,hotel_10,0.11,222,197.58
339,guest_1781,hotel_56,0.09,202,183.82
340,guest_888,hotel_360,0.11,75,66.75
341,guest_211,hotel_114,0.0,178,178.0
342,guest_3895,hotel_280,0.02,78,76.44
343,guest_421,hotel_19,0.09,113,102.83
344,guest_1619,hotel_393,0.04,249,239.04
345,guest_520,hotel_335,0.01,170,168.3
346,guest_2496,hotel_362,0.08,205,188.6
347,guest_1582,hotel_233,0.02,278,272.44
348,guest_3154,hotel_373,0.07,261,242.73
349,guest_3380,hotel_185,0.11,273,242.97
350,guest_3412,hotel_245,0.05,290,275.5
351,guest_1550,hotel_347,0.17,216,179.28
352,guest_1627,hotel_142,0.09,145,131.95000000000002
353,guest_158,hotel_232,0.19,209,169.29000000000002
354,guest_1198,hotel_26,0.06,55,51.699999999999996
355,guest_3810,hotel_373,0.05,261,247.95
356,guest_2314,hotel_84,0.01,225,222.75
357,guest_1131,hotel_19,0.01,113,111.87
358,guest_2595,hotel_70,0.0,85,85.0
359,guest_3524,hotel_243,0.06,123,115.61999999999999
360,guest_1262,hotel_173,0.18,97,79.54
361,guest_142,hotel_13,0.06,198,186.11999999999998
362,guest_2039,hotel_342,0.02,139,136.22
363,guest_2482,hotel_365,0.11,54,48.06
364,guest_1011,hotel_208,0.05,81,76.95
365,guest_2416,hotel_301,0.14,52,44.72
366,guest_3920,hotel_385,0.08,228,209.76000000000002
367,guest_93,hotel_247,0.09,60,54.6
368,guest_3745,hotel_172,0.17,132,109.55999999999999
369,guest_3338,hotel_33,0.09,108,98.28
370,guest_1950,hotel_195,0.19,94,76.14
371,guest_1239,hotel_130,0.08,146,134.32
372,guest_1921,hotel_22,0.12,61,53.68
373,guest_123,hotel_226,0.11,166,147.74
374,guest_3500,hotel_192,0.05,95,90.25
375,guest_1266,hotel_100,0.05,160,152.0
376,guest_2514,hotel_319,0.18,278,227.96
377,guest_1466,hotel_314,0.05,277,263.15
378,guest_272,hotel_259,0.08,219,201.48000000000002
379,guest_168,hotel_328,0.05,195,185.25
380,guest_3282,hotel_237,0.19,249,201.69000000000003
381,guest_2644,hotel_278,0.11,279,248.31
382,guest_792,hotel_344,0.0,98,98.0
383,guest_1024,hotel_6,0.04,58,55.68
384,guest_3351,hotel_229,0.08,246,226.32000000000002
385,guest_1878,hotel_28,0.15,104,88.39999999999999
386,guest_3590,hotel_312,0.02,286,280.28
387,guest_1167,hotel_249,0.08,57,52.440000000000005
388,guest_2446,hotel_46,0.11,214,190.46
389,guest_3164,hotel_8,0.1,236,212.4
390,guest_1890,hotel_305,0.12,74,65.12
391,guest_1312,hotel_315,0.05,221,209.95
392,guest_783,hotel_66,0.04,225,216.0
393,guest_677,hotel_263,0.07,260,241.79999999999998
394,guest_194,hotel_285,0.02,208,203.84
395,guest_3455,hotel_342,0.16,139,116.75999999999999
396,guest_2311,hotel_105,0.16,132,110.88
397,guest_323,hotel_132,0.06,192,180.48
398,guest_496,hotel_88,0.02,75,73.5
399,guest_838,hotel_128,0.09,171,155.61
400,guest_3681,hotel_130,0.17,146,121.17999999999999
401,guest_3304,hotel_342,0.08,139,127.88000000000001
402,guest_3375,hotel_340,0.08,243,223.56
403,guest_1672,hotel_40,0.01,98,97.02
404,guest_108,hotel_196,0.07,96,89.28
405,guest_1325,hotel_83,0.09,208,189.28
406,guest_2137,hotel_215,0.18,133,109.06
407,guest_1603,hotel_110,0.12,140,123.2
408,guest_153,hotel_54,0.15,238,202.29999999999998
409,guest_3702,hotel_59,0.12,116,102.08
410,guest_2036,hotel_231,0.1,285,256.5
411,guest_3488,hotel_394,0.07,291,270.63
412,guest_3362,hotel_23,0.02,54,52.92
413,guest_3642,hotel_14,0.07,195,181.35
414,guest_816,hotel_94,0.18,112,91.84
415,guest_2017,hotel_171,0.06,167,156.98
416,guest_2511,hotel_67,0.16,197,165.48
417,guest_1405,hotel_193,0.13,179,155.73
418,guest_3378,hotel_231,0.08,285,262.2
419,guest_177,hotel_273,0.1,66,59.4
420,guest_1766,hotel_12,0.08,224,206.08
421,guest_3087,hotel_132,0.09,192,174.72
422,guest_1283,hotel_32,0.02,172,168.56
423,guest_1129,hotel_117,0.04,282,270.71999999999997
424,guest_1991,hotel_42,0.1,123,110.7
425,guest_34,hotel_88,0.13,75,65.25
426,guest_3061,hotel_172,0.0,132,132.0
427,guest_2008,hotel_142,0.13,145,126.15
428,guest_1427,hotel_268,0.06,73,68.61999999999999
429,guest_1819,hotel_46,0.11,214,190.46
430,guest_1670,hotel_305,0.05,74,70.3
431,guest_1519,hotel_381,0.01,276,273.24
432,guest_2698,hotel_74,0.09,278,252.98000000000002
433,guest_2209,hotel_155,0.1,65,58.5
434,guest_2346,hotel_160,0.05,68,64.6
435,guest_2150,hotel_121,0.11,56,49.84
436,guest_487,hotel_223,0.08,291,267.72
437,guest_1844,hotel_238,0.13,88,76.56
438,guest_1056,hotel_259,0.13,219,190.53
439,guest_3735,hotel_62,0.06,154,144.76
440,guest_1492,hotel_180,0.08,224,206.08
441,guest_2146,hotel_341,0.17,298,247.33999999999997
442,guest_2891,hotel_242,0.14,57,49.019999999999996
443,guest_798,hotel_396,0.13,212,184.44
444,guest_459,hotel_90,0.13,85,73.95
445,guest_1610,hotel_324,0.18,289,236.98000000000002
446,guest_3790,hotel_15,0.0,56,56.0
447,guest_2307,hotel_270,0.12,273,240.24
448,guest_2615,hotel_200,0.06,186,174.84
449,guest_1317,hotel_170,0.09,93,84.63000000000001
450,guest_218,hotel_90,0.19,85,68.85000000000001
451,guest_3994,hotel_293,0.17,251,208.32999999999998
452,guest_2079,hotel_245,0.09,290,263.90000000000003
453,guest_1682,hotel_26,0.11,55,48.95
454,guest_3157,hotel_374,0.04,176,168.95999999999998
455,guest_3340,hotel_4,0.17,157,130.31
456,guest_575,hotel_81,0.1,252,226.8
457,guest_978,hotel_316,0.07,187,173.91
458,guest_489,hotel_400,0.0,145,145.0
459,guest_3330,hotel_93,0.0,285,285.0
460,guest_1888,hotel_224,0.05,76,72.2
461,guest_2599,hotel_375,0.01,268,265.32
462,guest_1025,hotel_16,0.17,101,83.83
463,guest_264,hotel_247,0.19,60,48.6
464,guest_3071,hotel_8,0.15,236,200.6
465,guest_2081,hotel_60,0.06,242,227.48
466,guest_3306,hotel_135,0.12,66,58.08
467,guest_3679,hotel_137,0.12,92,80.96
468,guest_1747,hotel_338,0.0,133,133.0
469,guest_3293,hotel_359,0.15,163,138.54999999999998
470,guest_139,hotel_354,0.12,52,45.76
471,guest_44,hotel_176,0.1,297,267.3
472,guest_3117,hotel_48,0.03,263,255.10999999999999
473,guest_1259,hotel_232,0.12,209,183.92
474,guest_1691,hotel_213,0.13,256,222.72
475,guest_1600,hotel_100,0.06,160,150.39999999999998
476,guest_2195,hotel_299,0.02,170,166.6
477,guest_1235,hotel_7,0.13,69,60.03
478,guest_993,hotel_234,0.15,211,179.35
479,guest_1073,hotel_27,0.03,299,290.03
480,guest_261,hotel_146,0.15,226,192.1
481,guest_3944,hotel_189,0.17,73,60.589999999999996
482,guest_2549,hotel_161,0.18,193,158.26000000000002
483,guest_2828,hotel_359,0.07,163,151.59
484,guest_1867,hotel_346,0.17,175,145.25
485,guest_3535,hotel_104,0.11,73,64.97
486,guest_3567,hotel_23,0.1,54,48.6
487,guest_1511,hotel_295,0.08,76,69.92
488,guest_2108,hotel_10,0.1,222,199.8
489,guest_3447,hotel_263,0.16,260,218.4
490,guest_3297,hotel_30,0.04,102,97.92
491,guest_1933,hotel_17,0.08,121,111.32000000000001
492,guest_3620,hotel_308,0.01,269,266.31
493,guest_1522,hotel_356,0.0,208,208.0
494,guest_2265,hotel_148,0.07,206,191.57999999999998
495,guest_1062,hotel_78,0.14,149,128.14
496,guest_1913,hotel_118,0.07,181,168.32999999999998
497,guest_2187,hotel_384,0.03,126,122.22
498,guest_754,hotel_129,0.09,85,77.35000000000001
499,guest_2128,hotel_361,0.1,219,197.1
500,guest_120,hotel_224,0.09,76,69.16
501,guest_2672,hotel_332,0.05,278,264.09999999999997
502,guest_546,hotel_126,0.0,192,192.0
503,guest_2687,hotel_172,0.14,132,113.52
504,guest_1644,hotel_204,0.16,93,78.11999999999999
505,guest_3946,hotel_41,0.13,282,245.34
506,guest_429,hotel_282,0.11,241,214.49
507,guest_685,hotel_397,0.15,68,57.8
508,guest_571,hotel_127,0.05,279,265.05
509,guest_3974,hotel_125,0.19,117,94.77000000000001
510,guest_596,hotel_376,0.01,238,235.62
511,guest_827,hotel_133,0.09,189,171.99
512,guest_1014,hotel_100,0.04,160,153.6
513,guest_1758,hotel_39,0.15,274,232.9
514,guest_3048,hotel_263,0.09,260,236.6
515,guest_3271,hotel_75,0.14,213,183.18
516,guest_2031,hotel_34,0.09,172,156.52
517,guest_752,hotel_372,0.15,203,172.54999999999998
518,guest_2542,hotel_303,0.09,160,145.6
519,guest_266,hotel_216,0.18,212,173.84
520,guest_2809,hotel_183,0.06,154,144.76
521,guest_85,hotel_149,0.12,278,244.64000000000001
522,guest_1528,hotel_205,0.04,183,175.68
523,guest_552,hotel_90,0.01,85,84.15
524,guest_1482,hotel_193,0.13,179,155.73
525,guest_3952,hotel_81,0.02,252,246.96
526,guest_2936,hotel_34,0.16,172,144.48
527,guest_1460,hotel_390,0.06,165,155.1
528,guest_2291,hotel_400,0.05,145,137.75
529,guest_1715,hotel_7,0.04,69,66.24
530,guest_2527,hotel_75,0.01,213,210.87
531,guest_1079,hotel_1,0.12,273,240.24
532,guest_3520,hotel_355,0.15,246,209.1
533,guest_2612,hotel_318,0.1,146,131.4
534,guest_2619,hotel_176,0.18,297,243.54000000000002
535,guest_3371,hotel_366,0.05,120,114.0
536,guest_52,hotel_226,0.01,166,164.34
537,guest_1718,hotel_378,0.04,194,186.23999999999998
538,guest_2616,hotel_362,0.15,205,174.25
539,guest_731,hotel_222,0.12,231,203.28
540,guest_3973,hotel_174,0.13,72,62.64
541,guest_1697,hotel_127,0.08,279,256.68
542,guest_676,hotel_288,0.07,135,125.55
543,guest_3981,hotel_102,0.11,73,64.97
544,guest_2402,hotel_349,0.05,134,127.3
545,guest_2701,hotel_195,0.15,94,79.89999999999999
546,guest_991,hotel_93,0.13,285,247.95
547,guest_2576,hotel_91,0.01,192,190.07999999999998
548,guest_526,hotel_236,0.18,145,118.9
549,guest_925,hotel_206,0.18,187,153.34
550,guest_376,hotel_171,0.12,167,146.96
551,guest_1030,hotel_392,0.18,210,172.20000000000002
552,guest_2663,hotel_25,0.11,213,189.57
553,guest_1054,hotel_83,0.13,208,180.96
554,guest_452,hotel_116,0.03,129,125.13
555,guest_1218,hotel_144,0.13,59,51.33
556,guest_2689,hotel_109,0.04,67,64.32
557,guest_3709,hotel_59,0.13,116,100.92
558,guest_3868,hotel_371,0.08,168,154.56
559,guest_1655,hotel_214,0.09,79,71.89
560,guest_3608,hotel_108,0.15,132,112.2
561,guest_1160,hotel_370,0.0,229,229.0
562,guest_2863,hotel_14,0.06,195,183.29999999999998
563,guest_3894,hotel_298,0.12,283,249.04
564,guest_1118,hotel_79,0.13,75,65.25
565,guest_1975,hotel_266,0.07,169,157.17
566,guest_278,hotel_246,0.03,127,123.19
